,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
124,31735061659755,"""Intellectuals and the War"", By V.J. Jerome",,,,University of Pittsburgh,3,39,text,archival document
125,31735061659532,"""Vote for John Makowski"", Communist Candidate for Council- Ward 21",,,,University of Pittsburgh,3,2,text,archival document
126,31735070075092,"Political action; Political action (Milwaukee, Wis.)",,,1912-03-02,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
127,31735061658153,"""The Menace of Opportunism"", By Max Bedacht",,,,University of Pittsburgh,3,111,text,archival document
128,31735061537704,"""Is Communism Un-American?"", 9 Questions About the Communist Party Answered, By Eugene Dennis,",,1947-03,,University of Pittsburgh,4,70,text,archival document
129,31735061543892,Flyer to Vote for Henry Steinberg,,,,University of Pittsburgh,10,38,text,archival document
130,31735061659235,"""Dust Off Your Dreams"", The Story of American Youth for Democracy",,,,University of Pittsburgh,4,9,text,archival document
131,31735047450824,"""He Had Enough! - Westinghouse IUE Leader Returns to UE"" Booklet",,,,University of Pittsburgh,37,84,text,archival document
132,31735061659052,"""Nazis Preferred"", The Renazification of Western Germany, By Moses Miller,",,1950-06,,University of Pittsburgh,3,138,text,archival document
133,31735061537563,"Communist Rioters in Cleveland, Ohio,",,1930-10-03,,University of Pittsburgh,4,145,still image,archival document
134,31735066228945,"Anti-Soviet Sabotage Exposed, By G.M. Krzhyzhanovsky",,,,University of Pittsburgh,7,5,text,archival document
135,31735060482795,"""Don't Hurt Those Children in Vietnam"" Protest",,,,University of Pittsburgh,12,51,still image,archival document
136,31735061540302,"""Basis of Unity for the Campus Anti-Imperialist Coalition""",,,,University of Pittsburgh,7,126,text,archival document
137,31735060483009,"In Defense of Negro Rights, by Benjamin J. Davis,",,1950-01,,University of Pittsburgh,1,6,text,archival document
138,31735066205307,"""Tom Mooney"" Files",,,,University of Pittsburgh,14,12,text,archival document
139,31735061538629,"""What Makes Latin America Explosive"" Flyer",,,,University of Pittsburgh,11,95,text,archival document
140,31735047450386,"Fannie Sellins Newspaper Clippings,",,1989-09,,University of Pittsburgh,37,28,text,archival document
141,31735070057397,"Political action; Political action (Milwaukee, Wis.)",,,1912-04-13,University of Pittsburgh,,,text; text,newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers; newspaper; Newspapers.; Newspapers; Newspapers; Newspapers; Newspapers
142,31735066228275,"""The Chicanos"",",,1973,,University of Pittsburgh,5,5,text,archival document
